timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,Latency,Hostname,"UUID"
2013/11/27 13:30:59.868,4096,Get html,200,OK,Thread Group 1-50,true,168531,148,CACSVM-12354.local,50
2013/11/27 13:31:01.015,3005,Get html,200,OK,Thread Group 1-61,true,168533,143,CACSVM-12354.local,62
2013/11/27 13:31:03.634,451,Get Roboto-Medium.woff,200,OK,Thread Group 1-38,true,70569,85,CACSVM-12354.local,38
2013/11/27 13:31:01.721,2401,Get Antonio-Light.ttf,200,OK,Thread Group 1-10,true,46906,370,CACSVM-12354.local,10
2013/11/27 13:30:59.845,4311,Get Roboto-Medium.woff,200,OK,Thread Group 1-18,true,70569,346,CACSVM-12354.local,18
2013/11/27 13:31:03.823,396,Get Antonio-Regular.tff,200,OK,Thread Group 1-23,true,48286,86,CACSVM-12354.local,23
2013/11/27 13:31:00.702,3559,Get html,200,OK,Thread Group 1-58,true,168531,1484,CACSVM-12354.local,59
2013/11/27 13:31:03.809,479,Get Antonio-Light.ttf,200,OK,Thread Group 1-37,true,46906,96,CACSVM-12354.local,37
2013/11/27 13:31:04.086,258,Get Antonio-Light.woff,200,OK,Thread Group 1-38,true,43894,94,CACSVM-12354.local,38
2013/11/27 13:31:01.130,3334,Get xfinity_sans_icons_v1.0.woff,200,OK,Thread Group 1-17,true,64261,971,CACSVM-12354.local,17
2013/11/27 13:31:04.220,244,Get Antonio-Light.ttf,200,OK,Thread Group 1-23,true,46906,85,CACSVM-12354.local,23
2013/11/27 13:31:01.539,2931,Get html,200,OK,Thread Group 1-66,true,168529,183,CACSVM-12354.local,68
2013/11/27 13:31:01.950,2546,Get Antonio-Light.ttf,200,OK,Thread Group 1-29,true,46906,83,CACSVM-12354.local,29
2013/11/27 13:31:02.256,2239,Get html,200,OK,Thread Group 1-73,true,168531,213,CACSVM-12354.local,75
2013/11/27 13:31:03.702,822,Call ajax,200,OK,Thread Group 1-48,true,168374,109,CACSVM-12354.local,48
